Category,Author,Quote Text
Action ,Lao Tzu,The key to growth is introducing higher dimensions of consciousness into our awareness 
,Benjamin Disraeli,Action may not always bring happiness; but there is no happiness without action
,David Schwartz,Action cures Fear 
,Napoleon Bonaparte,"When the time for action has arrived, stop thinking and go in "
,Tony Robbins,"The path to success is to take massive, determined action "
,House,"Time changes everything. That's what people say, it's not true. Doing things changes things. Not doing things leaves things exactly as they were."
,Stephen Covey,"The successful person has the habit of doing the things failures don't like to do.  They don't like doing them either necessarily. But their disliking is subordinated to their purpose. So instead of settling for something that is instantly gratifying or running away from something instantly painful, they go for something that is painful now but gratifying later"
,Tim Feriss,"Usually what we most fear, are the things we most NEED to DO. Plan to do something everyday that you FEAR "
,Tim Feriss,"What is costing you physically, mentally, financially, TO POSTPONE ACTION? Measure the cost of inaction. If you don¡¯t pursue the things that excite you, where will you be in 1 year, 5 year, 10 years? How will you FEEL, having allowed reality to allow 10 years of your youth to pass, doing what you know will not fulfill you?"
,Tim Feriss,"If RISK means never being able to achieve your dreams in your life, INACTION is the GREATEST RISK of all "
